,Time (hr),K,Lambda
0,2.4,0.001863872,0.0317
1,2.55,0.001902154,0.0317
2,2.7,0.001935959,0.0317
3,2.85,0.001966835,0.0317
4,3,0.00199571,0.0317
5,3.15,0.002022036,0.0317
6,3.3,0.002046866,0.0317
7,3.45,0.002069879,0.0317
8,3.6,0.002090045,0.0317
9,3.75,0.00210894,0.0317
10,3.9,0.00212672,0.0317
11,4.05,0.002143512,0.0317
12,4.2,0.002159429,0.0317
13,4.35,0.002175184,0.0317
14,4.5,0.002193429,0.0317
15,4.65,0.002212211,0.0317
16,4.8,0.002224945,0.0317
17,4.95,0.00223711,0.0317
18,5.1,0.002240449,0.0317
19,5.25,0.002243981,0.0317
20,5.4,0.002247912,0.0317
21,5.55,0.002252153,0.0317
22,5.7,0.002256839,0.0317
23,5.85,0.002261277,0.0317
24,6,0.002265609,0.0317
25,6.15,0.002270091,0.0317
26,6.3,0.002274717,0.0317
27,6.45,0.002279078,0.0317
28,6.6,0.00228314,0.0317
29,6.75,0.002286975,0.0317
30,6.9,0.002290439,0.0317
31,7.05,0.002293203,0.0317
32,7.2,0.002295904,0.0317
33,7.35,0.002298539,0.0317
34,7.5,0.002301115,0.0317
35,7.65,0.002302986,0.0317
36,7.8,0.002305769,0.0317
37,7.95,0.002305033,0.0317
38,8.1,0.002304279,0.0317
39,8.25,0.00230353,0.0317
40,8.4,0.002302875,0.0317
41,8.55,0.002302211,0.0317
42,8.7,0.002301312,0.0317
43,8.85,0.002300394,0.0317
44,9,0.002299462,0.0317
45,9.15,0.002298538,0.0317
46,9.3,0.002297618,0.0317
47,9.45,0.002296712,0.0317
48,9.6,0.002295825,0.0317
49,9.75,0.002294955,0.0317
50,9.9,0.002294075,0.0317
51,10.05,0.002293185,0.0317
52,10.2,0.002292325,0.0317
53,10.35,0.002291438,0.0317
54,10.5,0.002290563,0.0317
55,10.65,0.002289701,0.0317
56,10.8,0.002288843,0.0317
57,10.95,0.002287993,0.0317
58,11.1,0.002287152,0.0317
59,11.25,0.002286312,0.0317
60,11.4,0.002285493,0.0317
61,11.55,0.002284687,0.0317
62,11.7,0.002283898,0.0317
63,11.85,0.002283133,0.0317
64,12,0.002282386,0.0317
65,12.15,0.002281649,0.0317
66,12.3,0.002280931,0.0317
67,12.45,0.002280236,0.0317
68,12.6,0.002279544,0.0317
69,12.75,0.002278864,0.0317
70,12.9,0.002278206,0.0317
71,13.05,0.00227763,0.0317
72,13.2,0.002277104,0.0317
73,13.35,0.002276647,0.0317
74,13.5,0.002276236,0.0317
75,13.65,0.002275845,0.0317
76,13.8,0.002275506,0.0317
77,13.95,0.002275228,0.0317
78,14.1,0.002274957,0.0317
79,14.25,0.002274692,0.0317
80,14.4,0.002274444,0.0317
81,14.55,0.002274157,0.0317
82,14.7,0.002273842,0.0317
83,14.85,0.002273549,0.0317
84,15,0.002273262,0.0317
85,15.15,0.002272986,0.0317
86,15.3,0.00227272,0.0317
87,15.45,0.002272459,0.0317
88,15.6,0.002272198,0.0317
89,15.75,0.002271943,0.0317
90,15.9,0.002271713,0.0317
91,16.05,0.002271494,0.0317
92,16.2,0.002271281,0.0317
93,16.35,0.002271069,0.0317
94,16.5,0.002270863,0.0317
95,16.65,0.002270657,0.0317
96,16.8,0.002270448,0.0317
97,16.95,0.002270248,0.0317
98,17.1,0.002270057,0.0317
99,17.25,0.002269883,0.0317
100,17.4,0.002269736,0.0317
101,17.55,0.002269593,0.0317
102,17.7,0.002269456,0.0317
103,17.85,0.002269323,0.0317
104,18,0.00226919,0.0317
105,18.15,0.002269077,0.0317
106,18.3,0.002268974,0.0317
107,18.45,0.002268877,0.0317
108,18.6,0.002268788,0.0317
109,18.75,0.002268699,0.0317
110,18.9,0.002268613,0.0317
111,19.05,0.002268536,0.0317
112,19.2,0.002268471,0.0317
113,19.35,0.002268415,0.0317
114,19.5,0.002268357,0.0317
115,19.65,0.002268309,0.0317
116,19.8,0.002268272,0.0317
117,19.95,0.002268248,0.0317
118,20.1,0.002268228,0.0317
119,20.25,0.002268217,0.0317
120,20.4,0.002268216,0.0317
121,20.55,0.002268225,0.0317
122,20.7,0.002268244,0.0317
123,20.85,0.002268271,0.0317
124,21,0.002268278,0.0317
125,21.15,0.002268279,0.0317
126,21.3,0.002268288,0.0317
127,21.45,0.002268303,0.0317
128,21.6,0.002268323,0.0317
129,21.75,0.00226835,0.0317
130,21.9,0.002268384,0.0317
131,22.05,0.002268422,0.0317
132,22.2,0.002268463,0.0317
133,22.35,0.00226851,0.0317
134,22.5,0.002268568,0.0317
135,22.65,0.002268627,0.0317
136,22.8,0.002268696,0.0317
137,22.95,0.002268771,0.0317
138,23.1,0.002268846,0.0317
139,23.25,0.002268926,0.0317
140,23.4,0.002269009,0.0317
141,23.55,0.002269095,0.0317
142,23.7,0.002269174,0.0317
143,23.85,0.002269249,0.0317
144,24,0.00226933,0.0317
145,24.15,0.002269417,0.0317
146,24.3,0.002269503,0.0317
147,24.45,0.002269588,0.0317
148,24.6,0.002269676,0.0317
149,24.75,0.002269766,0.0317
150,24.9,0.002269858,0.0317
151,25.05,0.002269952,0.0317
152,25.2,0.00227005,0.0317
153,25.35,0.002270163,0.0317
154,25.5,0.002270329,0.0317
155,25.65,0.00227047,0.0317
156,25.8,0.002270615,0.0317
157,25.95,0.002270673,0.0317
158,26.1,0.002270703,0.0317
159,26.25,0.002270734,0.0317
160,26.4,0.002270881,0.0317
161,26.55,0.002271047,0.0317
162,26.7,0.002271219,0.0317
163,26.85,0.002271546,0.0317
164,27,0.002271838,0.0317
165,27.15,0.002272132,0.0317
166,27.3,0.002272433,0.0317
167,27.45,0.002272742,0.0317
168,27.6,0.002273056,0.0317
169,27.75,0.00227336,0.0317
170,27.9,0.002273664,0.0317
171,28.05,0.002273971,0.0317
172,28.2,0.00227429,0.0317
173,28.35,0.002274605,0.0317
174,28.5,0.002274896,0.0317
175,28.65,0.002275208,0.0317
176,28.8,0.00227552,0.0317
177,28.95,0.002275834,0.0317
178,29.1,0.002276148,0.0317
179,29.25,0.002276457,0.0317
180,29.4,0.002276767,0.0317
181,29.55,0.002277088,0.0317
182,29.7,0.002277414,0.0317
